business_id;name;city;state;categories
6iYb2HFDywm3zjuRg0shjw;Oskar Blues Taproom;Boulder;CO;Gastropubs,Food,BeerGardens,Restaurants,Bars,American(Traditional),BeerBar,Nightlife,Breweries
tCbdrRPZA0oiIYSmHG3J0w;Flying Elephants at PDX;Portland;OR;Salad,Soup,Sandwiches,Delis,Restaurants,Cafes,Vegetarian
bvN78flM8NLprQ1a1y5dRg;The Reclaimory;Portland;OR;Antiques,Fashion,Used,Vintage&Consignment,Shopping,FurnitureStores,Home&Garden
oaepsyvc0J17qwi8cfrOWg;Great Clips;Orange City;FL;Beauty&Spas,HairSalons
PE9uqAjdw0E4-8mjGl3wVA;Crossfit Terminus;Atlanta;GA;Gyms,ActiveLife,IntervalTrainingGyms,Fitness&Instruction
D4JtQNTI4X3KcbzacDJsMw;Bob Likes Thai Food;Vancouver;BC;Restaurants,Thai
t35jsh9YnMtttm69UCp7gw;Escott Orthodontics;Orlando;FL;Dentists,Health&Medical,Orthodontists
jFYIsSb7r1QeESVUnXPHBw;Boxwood Biscuit;Columbus;OH;Breakfast&Brunch,Restaurants
N3_Gs3DnX4k9SgpwJxdEfw;Lane Wells Jewelry Repair;Austin;TX;Shopping,JewelryRepair,AppraisalServices,LocalServices,Jewelry,Engraving,GoldBuyers
tXvdYGvlEceDljN8gt2_3Q;Capital City Barber Shop;Austin;TX;Barbers,Beauty&Spas
rYs_1pNB_RMtn5WQh55QDA;Chautauqua General Store;Boulder;CO;Food,Shopping,ConvenienceStores,SouvenirShops
hCABMnKtwo4Y9alQDxh2kw;Star Kreations Salon and Spa;Peabody;MA;Wigs,HairExtensions,HairSalons,BlowDry/OutServices,HairStylists,Beauty&Spas,Shopping
HPA_qyMEddpAEtFof02ixg;Mr G's Pizza & Subs;Peabody;MA;Food,Pizza,Restaurants
ufCxltuh56FF4-ZFZ6cVhg;Sister Honey's;Orlando;FL;Restaurants,American(New),Bakeries,Desserts,Food,Cupcakes
i_t_30RYVUDdZzFIcw80NQ;Uncle Sam's Pawn Shop;Columbus;OH;Books,Mags,Music&Video,MusicalInstruments&Teachers,PawnShops,Shopping,Videos&VideoGameRental,Jewelry
g7CEhqBIpwTg6ERcMkCmrQ;Finish Line Car Wash;Stone Mountain;GA;OilChangeStations,SmogCheckStations,Automotive,CarWash
GfWJ19Js7wX9rwaHQ7KbGw;Everything POP Shopping & Dining;Orlando;FL;Restaurants,American(New),FoodCourt,Flowers&Gifts,Hotels&Travel,GiftShops,Resorts,Shopping
MUeUyqhMja-nnmvgP4rBBg;Saratoga Resort Villas;Kissimmee;FL;Hotels,VacationRentals,Hotels&Travel,EventPlanning&Services
6fT0lYr_UgWSCZs_w1PBTQ;Salter School;Malden;MA;SpecialtySchools,MassageSchools,MiddleSchools&HighSchools,Vocational&TechnicalSchool,AdultEducation,Education,ElementarySchools
dmbbf3AqeG61_QHRZi1M1w;RaceTrac;Pine Castle;FL;Automotive,American(Traditional),GasStations,Restaurants,Food,Beer,Wine&Spirits
